工号	姓名	性别	入职年份	所在部门	工资
5842123	张明	男	2012	A	6920
5842124	华风	男	2015	A	6920
5842125	李东方	男	2012	A	6920
5842126	付非	女	2012	A	6920
5842127	费玲	男	2012	A	6872
5842281	高发	男	2012	A	6843
5842145	陈好	女	2012	A	6930
5842921	支可	男	2015	A	7000
5842861	朱愿	男	2015	A	6923
5842521	元译	男	2015	A	6521
5842141	汇高	男	2015	A	6732
5842971	洁琳	女	2015	A	6823
5842861	冯光荣	男	2015	A	6901
5842531	如歌	女	2014	B	6699
5846221	吴州	男	2014	B	6854
5847521	关放	男	2015	B	6743
5842321	飞虎	男	2015	B	6912
5849821	李健	男	2015	B	6953
5887421	嵇广荣	男	2015	B	6843
5842461	米花	女	2014	B	6643
5842091	黄蜂	男	2012	B	6734
5842971	白于	女	2012	B	6785
5845621	沈泰	男	2013	B	6824
5842761	石空	女	2013	B	6782
5844521	江方	男	2014	B	6724
5864421	罗德	女	2013	B	6724
5846521	德里	男	2012	B	6824
5844621	冯兴国	男	2015	B	6841
5842261	李秉贵	男	2015	C	6831
5842641	孙卫东	男	2013	C	6923
5842151	 孙连波 	男	2013	C	6842
5843621	春南 	女	2013	C	6942
5847621	 孙祎 	男	2013	C	6743
5842651	孙萌	女	2012	C	6985
5842521	于学忠	男	2014	C	6785
5843421	马宏宇	男	2012	C	6975
5842441	刁富贵	男	2013	C	6965
5845441	赵大华	男	2014	C	6945
5348421	孙顺达	男	2015	C	6935
5842146	刘乃超	男	2015	C	6785
5842176	张石山	男	2014	D	6885
5842651	吕文达	男	2014	D	6685
5842341	吕德榜	男	2014	D	6985
5842761	 孙荣廷	男	2014	D	6945
5842651	 孙岑	女	2014	D	6685
5842561	孙御宾	男	2014	D	6905
5842541	孙楮 	男	2015	D	6945
5843421	孙植 	男	2015	D	6915
5842135	 孙丹	女	2012	D	6685
